tweet_id,text,favorite_count,retweet_count,created_at
1652666178886672385,PMLN drama at its peak in govt and against govt at the same time through reimaginingpakistan initiative Partici,0,0,Sun Apr 30 13:28:16 +0000 2023
1652665693412933632,Being a lawyer TararAttaullah should be well aware that he needs proof to accuse someone otherwise he can be held,2,0,Sun Apr 30 13:26:21 +0000 2023
1652665681215893505,RT amberdanishh I made this vlog on December 29th 2020 when PTI accepted the incorrect results of Census2017 and concluded that Karachi,0,21,Sun Apr 30 13:26:18 +0000 2023
1652665322602909696,RT AsadAToor EXCLUSIVe In an explosive audio leak of Najam Saqib former Chief Justice SaqibNisar via his son taking millions from PT,0,1777,Sun Apr 30 13:24:52 +0000 2023
1652665021531389954,Prime Minister of Pakistan 2023 EidAlFitr20239thaprilblackday pti ImranKhan,1,0,Sun Apr 30 13:23:40 +0000 2023
1652664806623551488,Prime Minister of Pakistan 2023 EidAlFitr20239thaprilblackday pti ImranKhan,1,0,Sun Apr 30 13:22:49 +0000 2023
1652664646011342848,PTI announces rallies if talks with govt fail,0,0,Sun Apr 30 13:22:11 +0000 2023
1652664434353922052,RT AsadAToor BREAKING How many billions ImranKhanPTI made by selling PTI tickets of Punjab assembly How much PTI other leaders made,0,195,Sun Apr 30 13:21:20 +0000 2023
1652664409041301505,RT inketweets PervaizElahi PTI Pakistan Is Pervaiz Elahi A Dushman Shameful act by NIGRAAN IMP GVT OF PEE DM,0,13,Sun Apr 30 13:21:14 +0000 2023
1652663808899395587,RT amberdanishh I made this vlog on December 29th 2020 when PTI accepted the incorrect results of Census2017 and concluded that Karachi,0,21,Sun Apr 30 13:18:51 +0000 2023
